name,ages,errors,site,lat,lon,group average,group std_dev,group std_error
MKG-122,10108,234,FONF-LTMOR,70.567,-26.105,10886,,
MKG-122,10108,234,FONF-LTMOR,70.567,-26.105,10883,,
MKG-122,10108,234,FONF-LTMOR,70.567,-26.105,11135,,
MKG-122,10108,234,FONF-LTMOR,70.567,-26.105,12081,,
MKG-122,10108,234,FONF-LTMOR,70.567,-26.105,11905,,
MKG-122,10108,234,FONF-LTMOR,70.567,-26.105,10473,,
MKG-122,10108,234,FONF-LTMOR,70.567,-26.105,10108,,
MKG-122,10108,234,FONF-LTMOR,70.567,-26.105,10927,,
MKG-121,10927,224,FONF-LTMOR,70.566,-26.105,10886,,
MKG-121,10927,224,FONF-LTMOR,70.566,-26.105,10883,,
MKG-121,10927,224,FONF-LTMOR,70.566,-26.105,11135,,
MKG-121,10927,224,FONF-LTMOR,70.566,-26.105,12081,,
MKG-121,10927,224,FONF-LTMOR,70.566,-26.105,11905,,
MKG-121,10927,224,FONF-LTMOR,70.566,-26.105,10473,,
MKG-121,10927,224,FONF-LTMOR,70.566,-26.105,10108,,
MKG-121,10927,224,FONF-LTMOR,70.566,-26.105,10927,,
MKG-127,11010,224,FONF-PROXM,70.56,-26.105,11010,,
MKG-127,11010,224,FONF-PROXM,70.56,-26.105,10227,,
MKG-126,10227,240,FONF-PROXM,70.56,-26.105,11010,,
MKG-126,10227,240,FONF-PROXM,70.56,-26.105,10227,,
13-GE-5,8675,1170,GasM-N,70.4641,-22.4552,8675,,
13-GE-1,12266,3272,GasM-S,70.4625,-22.4616,12266,,
21-GL1455,10139,407,GLETLUKK-L,63.1777,-41.495,10139,,
21-GL1455,10139,407,GLETLUKK-L,63.1777,-41.495,8372,,
21-GL1453,8372,567,GLETLUKK-L,63.1777,-41.495,10139,,
21-GL1453,8372,567,GLETLUKK-L,63.1777,-41.495,8372,,
21-GL1465,9750,183,GLETLUKK-R,63.1558,-41.4948,9750,,
21-GL1465,9750,183,GLETLUKK-R,63.1558,-41.4948,9829,,
21-GL1465,9750,183,GLETLUKK-R,63.1558,-41.4948,10185,,
21-GL1464,9829,225,GLETLUKK-R,63.1557,-41.4947,9750,,
21-GL1464,9829,225,GLETLUKK-R,63.1557,-41.4947,9829,,
21-GL1464,9829,225,GLETLUKK-R,63.1557,-41.4947,10185,,
21-GL1462,10185,193,GLETLUKK-R,63.1558,-41.4936,9750,,
21-GL1462,10185,193,GLETLUKK-R,63.1558,-41.4936,9829,,
21-GL1462,10185,193,GLETLUKK-R,63.1558,-41.4936,10185,,
PEA0719,12401,602,HENSON,83.6142,-32.9454,12401,,
PEA0719,12401,602,HENSON,83.6142,-32.9454,12371,,
PEA0721,12371,617,HENSON,83.6135,-32.9113,12401,,
PEA0721,12371,617,HENSON,83.6135,-32.9113,12371,,
WM-006,11111,702,HUMB2,79.922,-63.74,11111,,
WM-006,11111,702,HUMB2,79.922,-63.74,7868,,
WM-006,11111,702,HUMB2,79.922,-63.74,8734,,
WM-006,11111,702,HUMB2,79.922,-63.74,11294,,
WM-006,11111,702,HUMB2,79.922,-63.74,8372,,
WM-006,11111,702,HUMB2,79.922,-63.74,7542,,
WM-005,7868,249,HUMB2,79.923,-63.748,11111,,
WM-005,7868,249,HUMB2,79.923,-63.748,7868,,
WM-005,7868,249,HUMB2,79.923,-63.748,8734,,
WM-005,7868,249,HUMB2,79.923,-63.748,11294,,
WM-005,7868,249,HUMB2,79.923,-63.748,8372,,
WM-005,7868,249,HUMB2,79.923,-63.748,7542,,
WM-004,8734,341,HUMB2,79.923,-63.758,11111,,
WM-004,8734,341,HUMB2,79.923,-63.758,7868,,
WM-004,8734,341,HUMB2,79.923,-63.758,8734,,
WM-004,8734,341,HUMB2,79.923,-63.758,11294,,
WM-004,8734,341,HUMB2,79.923,-63.758,8372,,
WM-004,8734,341,HUMB2,79.923,-63.758,7542,,
WM-003,11294,734,HUMB2,79.923,-63.759,11111,,
WM-003,11294,734,HUMB2,79.923,-63.759,7868,,
WM-003,11294,734,HUMB2,79.923,-63.759,8734,,
WM-003,11294,734,HUMB2,79.923,-63.759,11294,,
WM-003,11294,734,HUMB2,79.923,-63.759,8372,,
WM-003,11294,734,HUMB2,79.923,-63.759,7542,,
WM-002,8372,358,HUMB2,79.923,-63.755,11111,,
WM-002,8372,358,HUMB2,79.923,-63.755,7868,,
WM-002,8372,358,HUMB2,79.923,-63.755,8734,,
WM-002,8372,358,HUMB2,79.923,-63.755,11294,,
WM-002,8372,358,HUMB2,79.923,-63.755,8372,,
WM-002,8372,358,HUMB2,79.923,-63.755,7542,,
WM-001,7542,254,HUMB2,79.923,-63.755,11111,,
WM-001,7542,254,HUMB2,79.923,-63.755,7868,,
WM-001,7542,254,HUMB2,79.923,-63.755,8734,,
WM-001,7542,254,HUMB2,79.923,-63.755,11294,,
WM-001,7542,254,HUMB2,79.923,-63.755,8372,,
WM-001,7542,254,HUMB2,79.923,-63.755,7542,,
21-OED1811A,6651,274,ISUNNORK,67.1579,-50.1045,6651,,
21-OED1811A,6651,274,ISUNNORK,67.1579,-50.1045,6713,,
21-OED1811A,6651,274,ISUNNORK,67.1579,-50.1045,6662,,
21-OED1810A,6713,244,ISUNNORK,67.1601,-50.1004,6651,,
21-OED1810A,6713,244,ISUNNORK,67.1601,-50.1004,6713,,
21-OED1810A,6713,244,ISUNNORK,67.1601,-50.1004,6662,,
21-OED1809A,6662,295,ISUNNORK,67.1601,-50.1005,6651,,
21-OED1809A,6662,295,ISUNNORK,67.1601,-50.1005,6713,,
21-OED1809A,6662,295,ISUNNORK,67.1601,-50.1005,6662,,
KN08-22,7798,214,KEGM1,67.0445,-50.536,7798,,
KN09-08,7991,192,KEGM2,67.0446,-50.5352,7991,,
KN09-08,7991,192,KEGM2,67.0446,-50.5352,8091,,
GRE-10,8091,1757,KEGM2,67.425,-50.201,7991,,
GRE-10,8091,1757,KEGM2,67.425,-50.201,8091,,
KN09-09,7811,210,KEGM3,67.0446,-50.5352,7811,,
KN09-09,7811,210,KEGM3,67.0446,-50.5352,8798,,
GRE-11,8798,1240,KEGM3,67.429,-50.211,7811,,
GRE-11,8798,1240,KEGM3,67.429,-50.211,8798,,
Kell2008-B-MKG-32,11194,284,Kell2008-B,71.55361,-24.90444,11194,,
Kell2008-B-MKG-32,11194,284,Kell2008-B,71.55361,-24.90444,12071,,
Kell2008-B-MKG-32,11194,284,Kell2008-B,71.55361,-24.90444,11408,,
Kell2008-B-MKG-32,11194,284,Kell2008-B,71.55361,-24.90444,11753,,
Kell2008-B-MKG-32,11194,284,Kell2008-B,71.55361,-24.90444,12381,,
Kell2008-B-MKG-32,11194,284,Kell2008-B,71.55361,-24.90444,12212,,
Kell2008-B-MKG-32,11194,284,Kell2008-B,71.55361,-24.90444,10851,,
Kell2008-B-MKG-32,11194,284,Kell2008-B,71.55361,-24.90444,12402,,
Kell2008-B-MKG-32,11194,284,Kell2008-B,71.55361,-24.90444,11078,,
Kell2008-B-MKG-32,11194,284,Kell2008-B,71.55361,-24.90444,11912,,
Kell2008-B-MKG-36,12071,405,Kell2008-B,71.54306,-24.88722,11194,,
Kell2008-B-MKG-36,12071,405,Kell2008-B,71.54306,-24.88722,12071,,
Kell2008-B-MKG-36,12071,405,Kell2008-B,71.54306,-24.88722,11408,,
Kell2008-B-MKG-36,12071,405,Kell2008-B,71.54306,-24.88722,11753,,
Kell2008-B-MKG-36,12071,405,Kell2008-B,71.54306,-24.88722,12381,,
Kell2008-B-MKG-36,12071,405,Kell2008-B,71.54306,-24.88722,12212,,
Kell2008-B-MKG-36,12071,405,Kell2008-B,71.54306,-24.88722,10851,,
Kell2008-B-MKG-36,12071,405,Kell2008-B,71.54306,-24.88722,12402,,
Kell2008-B-MKG-36,12071,405,Kell2008-B,71.54306,-24.88722,11078,,
Kell2008-B-MKG-36,12071,405,Kell2008-B,71.54306,-24.88722,11912,,
Kell2008-B-MKG-89,11408,333,Kell2008-B,71.48242,-24.81421,11194,,
Kell2008-B-MKG-89,11408,333,Kell2008-B,71.48242,-24.81421,12071,,
Kell2008-B-MKG-89,11408,333,Kell2008-B,71.48242,-24.81421,11408,,
Kell2008-B-MKG-89,11408,333,Kell2008-B,71.48242,-24.81421,11753,,
Kell2008-B-MKG-89,11408,333,Kell2008-B,71.48242,-24.81421,12381,,
Kell2008-B-MKG-89,11408,333,Kell2008-B,71.48242,-24.81421,12212,,
Kell2008-B-MKG-89,11408,333,Kell2008-B,71.48242,-24.81421,10851,,
Kell2008-B-MKG-89,11408,333,Kell2008-B,71.48242,-24.81421,12402,,
Kell2008-B-MKG-89,11408,333,Kell2008-B,71.48242,-24.81421,11078,,
Kell2008-B-MKG-89,11408,333,Kell2008-B,71.48242,-24.81421,11912,,
Kell2008-B-MKG-92,11753,318,Kell2008-B,71.47827,-24.80632,11194,,
Kell2008-B-MKG-92,11753,318,Kell2008-B,71.47827,-24.80632,12071,,
Kell2008-B-MKG-92,11753,318,Kell2008-B,71.47827,-24.80632,11408,,
Kell2008-B-MKG-92,11753,318,Kell2008-B,71.47827,-24.80632,11753,,
Kell2008-B-MKG-92,11753,318,Kell2008-B,71.47827,-24.80632,12381,,
Kell2008-B-MKG-92,11753,318,Kell2008-B,71.47827,-24.80632,12212,,
Kell2008-B-MKG-92,11753,318,Kell2008-B,71.47827,-24.80632,10851,,
Kell2008-B-MKG-92,11753,318,Kell2008-B,71.47827,-24.80632,12402,,
Kell2008-B-MKG-92,11753,318,Kell2008-B,71.47827,-24.80632,11078,,
Kell2008-B-MKG-92,11753,318,Kell2008-B,71.47827,-24.80632,11912,,
Kell2008-B-MKG-98,12381,415,Kell2008-B,71.51181,-24.81143,11194,,
Kell2008-B-MKG-98,12381,415,Kell2008-B,71.51181,-24.81143,12071,,
Kell2008-B-MKG-98,12381,415,Kell2008-B,71.51181,-24.81143,11408,,
Kell2008-B-MKG-98,12381,415,Kell2008-B,71.51181,-24.81143,11753,,
Kell2008-B-MKG-98,12381,415,Kell2008-B,71.51181,-24.81143,12381,,
Kell2008-B-MKG-98,12381,415,Kell2008-B,71.51181,-24.81143,12212,,
Kell2008-B-MKG-98,12381,415,Kell2008-B,71.51181,-24.81143,10851,,
Kell2008-B-MKG-98,12381,415,Kell2008-B,71.51181,-24.81143,12402,,
Kell2008-B-MKG-98,12381,415,Kell2008-B,71.51181,-24.81143,11078,,
Kell2008-B-MKG-98,12381,415,Kell2008-B,71.51181,-24.81143,11912,,
Kell2008-B-MKG-100,12212,540,Kell2008-B,71.513,-24.9358,11194,,
Kell2008-B-MKG-100,12212,540,Kell2008-B,71.513,-24.9358,12071,,
Kell2008-B-MKG-100,12212,540,Kell2008-B,71.513,-24.9358,11408,,
Kell2008-B-MKG-100,12212,540,Kell2008-B,71.513,-24.9358,11753,,
Kell2008-B-MKG-100,12212,540,Kell2008-B,71.513,-24.9358,12381,,
Kell2008-B-MKG-100,12212,540,Kell2008-B,71.513,-24.9358,12212,,
Kell2008-B-MKG-100,12212,540,Kell2008-B,71.513,-24.9358,10851,,
Kell2008-B-MKG-100,12212,540,Kell2008-B,71.513,-24.9358,12402,,
