Mean_Features,GP_Features,RMSE,R2
bed_slope,bed_elevation + distance_to_coast + bed_roughness,2138.902,0.12937307
bed_slope,bed_elevation + bed_slope + bed_roughness,2128.8652,0.14504299
bed_slope,signed_distance_to_margin + distance_to_coast + bed_slope,2082.9365,0.19177365
bed_slope,signed_distance_to_margin + distance_to_coast + bed_roughness,2134.331,0.13265735
bed_slope,signed_distance_to_margin + bed_slope + bed_roughness,2043.6765,0.22923669
bed_slope,distance_to_coast + bed_slope + bed_roughness,2149.2625,0.11853701
bed_slope,bed_elevation + signed_distance_to_margin + distance_to_coast + bed_slope,2068.4114,0.2044895
bed_slope,bed_elevation + signed_distance_to_margin + distance_to_coast + bed_roughness,2132.7197,0.13449878
bed_slope,bed_elevation + signed_distance_to_margin + bed_slope + bed_roughness,2053.7866,0.2203449
bed_slope,bed_elevation + distance_to_coast + bed_slope + bed_roughness,2145.8281,0.12393755
bed_slope,signed_distance_to_margin + distance_to_coast + bed_slope + bed_roughness,2143.6086,0.12528107
bed_slope,bed_elevation + signed_distance_to_margin + distance_to_coast + bed_slope + bed_roughness,2148.5662,0.12100613
bed_roughness,None,2073.7854,0.1937367
bed_roughness,bed_elevation,2111.6045,0.1590338
bed_roughness,signed_distance_to_margin,2025.8599,0.24288592
bed_roughness,distance_to_coast,2135.7563,0.12961325
bed_roughness,bed_slope,2114.3708,0.15576965
bed_roughness,bed_roughness,2107.2178,0.1600109
bed_roughness,bed_elevation + signed_distance_to_margin,2039.5585,0.23184374
bed_roughness,bed_elevation + distance_to_coast,2133.5486,0.13414583
bed_roughness,bed_elevation + bed_slope,2119.036,0.1538215
bed_roughness,bed_elevation + bed_roughness,2119.0713,0.15255275
bed_roughness,signed_distance_to_margin + distance_to_coast,2066.2188,0.2039347
bed_roughness,signed_distance_to_margin + bed_slope,2046.7136,0.22581953
bed_roughness,signed_distance_to_margin + bed_roughness,2042.5944,0.22839767
bed_roughness,distance_to_coast + bed_slope,2149.3662,0.12079087
bed_roughness,distance_to_coast + bed_roughness,2140.8518,0.1252878
bed_roughness,bed_slope + bed_roughness,2117.292,0.15262628
bed_roughness,bed_elevation + signed_distance_to_margin + distance_to_coast,2065.9692,0.20508435
bed_roughness,bed_elevation + signed_distance_to_margin + bed_slope,2060.4458,0.21386749
bed_roughness,bed_elevation + signed_distance_to_margin + bed_roughness,2055.8237,0.21780348
bed_roughness,bed_elevation + distance_to_coast + bed_slope,2143.79,0.12800378
bed_roughness,bed_elevation + distance_to_coast + bed_roughness,2138.987,0.13039926
bed_roughness,bed_elevation + bed_slope + bed_roughness,2121.7612,0.15158197
bed_roughness,signed_distance_to_margin + distance_to_coast + bed_slope,2077.1345,0.19671986
bed_roughness,signed_distance_to_margin + distance_to_coast + bed_roughness,2140.8538,0.12587109
bed_roughness,signed_distance_to_margin + bed_slope + bed_roughness,2050.9482,0.22202778
bed_roughness,distance_to_coast + bed_slope + bed_roughness,2148.5447,0.12129596
bed_roughness,bed_elevation + signed_distance_to_margin + distance_to_coast + bed_slope,2087.9622,0.18641168
bed_roughness,bed_elevation + signed_distance_to_margin + distance_to_coast + bed_roughness,2146.9248,0.12145516
bed_roughness,bed_elevation + signed_distance_to_margin + bed_slope + bed_roughness,2067.9424,0.20670652
bed_roughness,bed_elevation + distance_to_coast + bed_slope + bed_roughness,2140.8896,0.12894541
bed_roughness,signed_distance_to_margin + distance_to_coast + bed_slope + bed_roughness,2151.798,0.11798176
bed_roughness,bed_elevation + signed_distance_to_margin + distance_to_coast + bed_slope + bed_roughness,2147.2068,0.121311694
bed_elevation + signed_distance_to_margin,None,1994.4814,0.2326194
bed_elevation + signed_distance_to_margin,bed_elevation,1941.0339,0.28567168
bed_elevation + signed_distance_to_margin,signed_distance_to_margin,1976.1686,0.252679
bed_elevation + signed_distance_to_margin,distance_to_coast,1978.0408,0.25113901
bed_elevation + signed_distance_to_margin,bed_slope,1975.7961,0.25429463
bed_elevation + signed_distance_to_margin,bed_roughness,1971.3198,0.2562978
bed_elevation + signed_distance_to_margin,bed_elevation + signed_distance_to_margin,1941.7812,0.2850465
bed_elevation + signed_distance_to_margin,bed_elevation + distance_to_coast,1969.5702,0.2564394
bed_elevation + signed_distance_to_margin,bed_elevation + bed_slope,1930.633,0.29177868
bed_elevation + signed_distance_to_margin,bed_elevation + bed_roughness,1942.1492,0.28499436
bed_elevation + signed_distance_to_margin,signed_distance_to_margin + distance_to_coast,1983.5618,0.24577191
bed_elevation + signed_distance_to_margin,signed_distance_to_margin + bed_slope,1979.1746,0.25200176
bed_elevation + signed_distance_to_margin,signed_distance_to_margin + bed_roughness,1980.3665,0.24457353
bed_elevation + signed_distance_to_margin,distance_to_coast + bed_slope,1972.676,0.2537008
bed_elevation + signed_distance_to_margin,distance_to_coast + bed_roughness,1974.6365,0.2539308
bed_elevation + signed_distance_to_margin,bed_slope + bed_roughness,1969.229,0.25895193
bed_elevation + signed_distance_to_margin,bed_elevation + signed_distance_to_margin + distance_to_coast,1963.2432,0.26309744
bed_elevation + signed_distance_to_margin,bed_elevation + signed_distance_to_margin + bed_slope,1943.4719,0.2841367
bed_elevation + signed_distance_to_margin,bed_elevation + signed_distance_to_margin + bed_roughness,1943.3188,0.28508064
bed_elevation + signed_distance_to_margin,bed_elevation + distance_to_coast + bed_slope,1960.1848,0.2663819
bed_elevation + signed_distance_to_margin,bed_elevation + distance_to_coast + bed_roughness,1965.3523,0.26115105
bed_elevation + signed_distance_to_margin,bed_elevation + bed_slope + bed_roughness,1942.2305,0.2858514
bed_elevation + signed_distance_to_margin,signed_distance_to_margin + distance_to_coast + bed_slope,1972.4023,0.255315
bed_elevation + signed_distance_to_margin,signed_distance_to_margin + distance_to_coast + bed_roughness,1977.9603,0.25203022
bed_elevation + signed_distance_to_margin,signed_distance_to_margin + bed_slope + bed_roughness,1972.6626,0.25596556
bed_elevation + signed_distance_to_margin,distance_to_coast + bed_slope + bed_roughness,2002.6565,0.22254866
bed_elevation + signed_distance_to_margin,bed_elevation + signed_distance_to_margin + distance_to_coast + bed_slope,1963.1973,0.26391008
bed_elevation + signed_distance_to_margin,bed_elevation + signed_distance_to_margin + distance_to_coast + bed_roughness,1963.1351,0.26366174
bed_elevation + signed_distance_to_margin,bed_elevation + signed_distance_to_margin + bed_slope + bed_roughness,1940.5582,0.28853413
bed_elevation + signed_distance_to_margin,bed_elevation + distance_to_coast + bed_slope + bed_roughness,1961.6042,0.26489672
bed_elevation + signed_distance_to_margin,signed_distance_to_margin + distance_to_coast + bed_slope + bed_roughness,1975.7856,0.25347096
bed_elevation + signed_distance_to_margin,bed_elevation + signed_distance_to_margin + distance_to_coast + bed_slope + bed_roughness,1964.4119,0.26336324
bed_elevation + distance_to_coast,None,2119.1196,0.13587788
bed_elevation + distance_to_coast,bed_elevation,2111.3835,0.14562103
bed_elevation + distance_to_coast,signed_distance_to_margin,2069.7952,0.19089705
bed_elevation + distance_to_coast,distance_to_coast,2134.188,0.12254849
bed_elevation + distance_to_coast,bed_slope,2129.0906,0.12924555
bed_elevation + distance_to_coast,bed_roughness,2135.078,0.12237644
bed_elevation + distance_to_coast,bed_elevation + signed_distance_to_margin,2062.5164,0.19376469
bed_elevation + distance_to_coast,bed_elevation + distance_to_coast,2118.2612,0.13366711
bed_elevation + distance_to_coast,bed_elevation + bed_slope,2114.4082,0.14531043
bed_elevation + distance_to_coast,bed_elevation + bed_roughness,2118.0503,0.14027512
bed_elevation + distance_to_coast,signed_distance_to_margin + distance_to_coast,2098.9956,0.16141632
bed_elevation + distance_to_coast,signed_distance_to_margin + bed_slope,2096.0833,0.16896775
bed_elevation + distance_to_coast,signed_distance_to_margin + bed_roughness,2142.9238,0.11483145
bed_elevation + distance_to_coast,distance_to_coast + bed_slope,2138.206,0.12047273
bed_elevation + distance_to_coast,distance_to_coast + bed_roughness,2159.2485,0.09496316
bed_elevation + distance_to_coast,bed_slope + bed_roughness,2144.9297,0.11918363
bed_elevation + distance_to_coast,bed_elevation + signed_distance_to_margin + distance_to_coast,2148.134,0.1198729
bed_elevation + distance_to_coast,bed_elevation + signed_distance_to_margin + bed_slope,2090.6697,0.17071688
bed_elevation + distance_to_coast,bed_elevation + signed_distance_to_margin + bed_roughness,2137.8967,0.11859137
bed_elevation + distance_to_coast,bed_elevation + distance_to_coast + bed_slope,2130.4438,0.12759763
bed_elevation + distance_to_coast,bed_elevation + distance_to_coast + bed_roughness,2150.0642,0.10518801
bed_elevation + distance_to_coast,bed_elevation + bed_slope + bed_roughness,2119.7578,0.1420773
